Whose Heritage SF - Honoree Count (1)
COUNTA of feature_name,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honorees,AL,AR,AZ,CA,DC,DE,FL,GA,IA,ID,IN,KY,LA,MD,MO,MS,MT,NC,NM,NY,OH,OK,PA,SC,TN,TX,VA,WA,WV,Grand Total
John Bell Hood,1,,,,,,,1,,,,,,,,3,,1,,,,,,2,1,4,1,,,14
John Brown Gordon,,,,,,,,4,,,,,,,,,,,,,,,,,,1,1,,,6
John Buchanan Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
John C. and William F. Upton,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
John C. Breckinridge,,,,,,,,,,,,,,,,2,,1,,,,,,1,,4,1,,,9
John C. Pemberton,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,4
John D. Barry,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
John Daniel Imboden,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,2
John F. North,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
John Gregg,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2
John Hemphill,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
John Henninger Reagan,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,11
John Henry Winder,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
John Horace Forney,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
John Hunt Morgan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
John Pegram,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
John Pelham,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
John Quincy Marr,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
"John Randolph Chambliss, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
John S. Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
John Singleton Mosby,,,,,,,,1,,,,,,,,2,,1,,,,,,,,,3,,,7
John Tyler Morgan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"John Watson Morton, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Joseph B. Kershaw,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Joseph B. Palmer,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Joseph E. Brown,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Joseph Eggleston Johnston,1,,,,,,,2,,,,,,,,1,,1,,,,,,2,,2,,,,9
Joseph Shelby,,,,,,,,1,,,,,1,,3,,,,,,,,,1,,,,,,6
Joseph Wheeler,5,,,,1,,,5,,,,,,,,1,,1,,,,,,1,,,1,,,15
Jubal Anderson Early,,,,,,,,1,,,,,,1,,1,,1,,,,,,1,,1,7,,,13
Judah P. Benjamin,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,2
Lafayette McLaws,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Lawrence Sullivan Ross,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Leonidas Polk,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,5
Lew Wallace,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Lewis Ginter,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Lloyd Tilghman,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Mathew Duncan Ector,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Matthew Calbraith Butler,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Matthew Fontaine Maury,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Middleton T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Milledge Luke Bonham,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9
Nathan Bedford Forrest,4,4,,,,,,4,,,,,,,,9,,1,,,,,,6,13,2,,,,43
Nathan George Evans,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
No specific honoree,56,37,3,,,1,28,94,1,,1,18,21,2,6,53,1,72,1,,,6,3,59,41,56,83,,6,649
Oran Milo Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Patrick Cleburne,1,1,,,,,,2,,,,,,,,1,,,,,,,,1,,3,,,,9
Peter W. Gray,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
